rna_id,fold,component_id,component_size,sequence_length,source_records_per_rna,source_models,identity_threshold,split_unit
1RHT_24_hp_nmr_A,3,identity_component_022,1,24,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1RNK_36_pseudoknot_nmr_A,2,identity_component_023,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1S2F_23_hp_nmr_A,1,identity_component_024,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1S9S_101_3wj_nmr_A,0,identity_component_025,1,101,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1T28_34_hpbulge_nmr_A,4,identity_component_026,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1TBK_17_hp_nmr_A,3,identity_component_027,1,17,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1TJZ_26_hp_nmr_A,2,identity_component_028,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1TLR_23_hp_nmr_A,1,identity_component_029,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1UUU_19_hp_nmr_A,0,identity_component_030,1,19,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1XWU_16_hp_nmr_A,4,identity_component_031,1,16,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1YLG_31_hp_nmr_A,3,identity_component_032,1,31,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1Z31_32_hpbulge_nmr_A,2,identity_component_033,1,32,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2AHT_27_hp_nmr_A,1,identity_component_034,1,27,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2ES5_23_hp_nmr_A,0,identity_component_035,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2EUY_34_hp_nmr_A,4,identity_component_036,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2FDT_35_hp_nmr_A,3,identity_component_037,1,36,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2GIO_29_hp_nmr_A,2,identity_component_038,1,29,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2GV3_22_hp_nmr_A,1,identity_component_039,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2HUA_40_hpbulge_nmr_A,0,identity_component_040,1,40,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2JTP_34_hp_nmr_A,4,identity_component_041,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2K5Z_29_hp_nmr_A,3,identity_component_042,1,29,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2K95_48_pseudoknot_nmr_A,2,identity_component_043,1,48,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KD8_22_hp_nmr_A,1,identity_component_044,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KE6_49_hp_nmr_A,0,identity_component_045,1,48,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KHY_38_hpbulge_nmr_A,4,identity_component_046,1,38,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KPV_34_hpbulge_nmr_A,3,identity_component_047,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KRL_102_3wj_nmr_A,2,identity_component_048,1,102,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KVN_17_hp_nmr_A,1,identity_component_049,1,17,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2KZL_55_hpbulge_nmr_A,0,identity_component_050,1,55,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2L2J_42_hp_nmr_A,4,identity_component_051,1,42,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2L3E_35_hpbulge_nmr_A,3,identity_component_052,1,35,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2L5Z_26_hpbulge_nmr_A,2,identity_component_053,1,26,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LBL_17_hp_nmr_A,1,identity_component_054,1,17,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LDL_27_hp_nmr_A,0,identity_component_055,1,27,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LDT_31_hp_nmr_A,4,identity_component_056,1,31,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LHP_37_hp_nmr_A,3,identity_component_057,1,37,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LI4_32_hp_nmr_A,2,identity_component_058,1,32,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LJJ_27_hpbulge_nmr_A,1,identity_component_059,1,27,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LK3_24_hpbulge_nmr_A,0,identity_component_060,1,24,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LKR_110_3wj_nmr_A,4,identity_component_061,1,111,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LQZ_27_hpbulge_nmr_A,3,identity_component_062,1,27,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LU0_49_3wj_nmr_A,2,identity_component_063,1,49,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2LUN_28_hp_nmr_A,1,identity_component_064,1,28,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2M12_23_hp_nmr_A,0,identity_component_065,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2M21_21_hp_nmr_A,4,identity_component_066,1,21,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2M8K_48_pseudoknot_nmr_A,3,identity_component_067,1,48,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2MEQ_19_hp_nmr_A,2,identity_component_068,1,19,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2MHI_53_3wj_nmr_A,1,identity_component_069,1,53,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2MQT_68_hpbulge_nmr_A,0,identity_component_070,1,68,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2MTJ_47_3wj_nmr_A,4,identity_component_071,1,47,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2MXL_39_hp_nmr_A,3,identity_component_072,1,39,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2N1Q_155_4wj_nmr_A,2,identity_component_073,1,155,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2N2P_23_hpbulge_nmr_A,1,identity_component_074,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2N3Q_62_3wj_nmr_A,0,identity_component_075,1,62,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2N4L_53_hpbulge_nmr_A,4,identity_component_076,1,53,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2N6W_68_hpbulge_nmr_A,3,identity_component_077,1,68,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2NC1_67_3wj_nmr_A,2,identity_component_078,1,67,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2NCI_28_hpbulge_nmr_A,1,identity_component_079,1,28,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2PCV_35_hpbulge_nmr_A,0,identity_component_080,1,35,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2QH2_24_hp_nmr_A,4,identity_component_081,1,24,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2RO2_23_hp_nmr_A,3,identity_component_082,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2RVO_34_hp_nmr_A,2,identity_component_083,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
2TPK_35_pseudoknot_nmr_A,1,identity_component_084,1,36,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
387D_26_hpbulge_xray_A,0,identity_component_085,1,26,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5A17_32_hp_nmr_A,4,identity_component_086,1,32,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5KH8_47_3wj_nmr_A,3,identity_component_087,1,47,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5KQE_35_hpbulge_nmr_A,2,identity_component_088,1,36,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5LSN_28_hp_nmr_A,1,identity_component_089,1,29,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5UF3_23_hp_nmr_A,0,identity_component_090,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5UZT_31_hp_nmr_A,4,identity_component_091,1,31,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5V16_41_hpbulge_nmr_A,3,identity_component_092,1,41,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
5WQ1_23_hp_nmr_A,2,identity_component_093,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6HYK_31_hpbulge_nmr_A,1,identity_component_094,1,31,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6NOA_56_hp_nmr_A,0,identity_component_095,1,56,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6PK9_20_hp_nmr_A,4,identity_component_096,1,20,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6U79_37_hp_nmr_A,3,identity_component_097,1,37,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6UES_119_4wjpseudoknot_cryoEM_A,2,identity_component_098,1,119,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6VAR_61_hpbulge_nmr_A,1,identity_component_099,1,61,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
6W3M_41_hp_nmr_A,0,identity_component_100,1,41,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7DD4_35_dumbbell_nmr_A,4,identity_component_101,1,36,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7K4L_36_hp_nmr_A,3,identity_component_102,1,36,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7KUB_60_hp_nmr_A,2,identity_component_103,1,60,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7LVA_103_3wj_nmr_A,1,identity_component_104,1,103,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7LYG_142_4wj_xray_A,0,identity_component_105,1,142,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7SHX_94_4wj_nmr_A,4,identity_component_106,1,94,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7UGA_43_hpbulge_nmr_A,3,identity_component_107,1,43,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7UMC_70_hpbulge_nmr_A,2,identity_component_108,1,70,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7UME_28_hp_nmr_A,1,identity_component_109,1,28,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
7V06_43_hpbulge_nmr_A,0,identity_component_110,1,43,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
8BWT_26_hp_nmr_A,4,identity_component_111,1,26,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
8CQ1_43_hp_nmr_A,3,identity_component_112,1,44,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
8FCS_71_hp_nmr_A,2,identity_component_113,1,71,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
8JHP_27_hpbulge_nmr_A,1,identity_component_114,1,27,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
8K8B_20_hp_nmr_A,0,identity_component_115,1,19,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
8SCH_68_hpbulge_nmr_A,4,identity_component_116,1,68,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
9FO9_33_hp_nmr_A,3,identity_component_117,1,33,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
9G7C_224_4wj_cryoEM_A,2,identity_component_118,1,224,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
9OBM_73_hp_nmr_A,1,identity_component_119,1,73,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
9OD4_23_hp_nmr_A,0,identity_component_120,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
